------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format M/d/yyyy Filter Normal -----------
Serial Number: MOS2E47200163
Start Time 10:25:00
Start Date 9/21/2021
Epoch Period (hh:mm:ss) 00:01:00
Download Time 09:56:04
Download Date 10/8/2021
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
9/21/2021,10:25:00,85,639,661,3,0,0,25,35,0,923.29
9/21/2021,10:26:00,192,576,688,6,0,0,14,46,0,917.6
9/21/2021,10:27:00,27,280,396,0,0,0,52,8,0,485.74
9/21/2021,10:28:00,0,40,120,0,0,0,1,59,0,126.49
9/21/2021,10:29:00,12,90,447,1,0,0,23,37,0,456.13
9/21/2021,10:30:00,139,550,709,4,0,0,53,7,0,908.02
9/21/2021,10:31:00,51,430,504,3,0,0,60,0,0,664.47
9/21/2021,10:32:00,65,466,593,3,0,0,36,24,0,756.99
9/21/2021,10:33:00,409,1156,1378,8,0,0,49,11,0,1844.59
9/21/2021,10:34:00,43,509,744,2,0,0,52,8,0,902.48
9/21/2021,10:35:00,29,441,375,2,0,0,52,8,0,579.61
9/21/2021,10:36:00,0,48,28,0,0,0,60,0,0,55.57
9/21/2021,10:37:00,0,107,30,0,0,0,60,0,0,111.13
9/21/2021,10:38:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:39:00,0,0,29,0,0,0,59,1,0,29
9/21/2021,10:40:00,0,0,10,0,0,0,60,0,0,10
9/21/2021,10:41:00,0,9,17,0,0,0,60,0,0,19.24
9/21/2021,10:42:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:43:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:44:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:45:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:46:00,77,346,106,0,0,0,57,3,0,369.97
9/21/2021,10:47:00,0,104,33,0,0,0,30,30,0,109.11
9/21/2021,10:48:00,0,0,57,0,0,0,60,0,0,57
9/21/2021,10:49:00,0,11,17,0,0,0,60,0,0,20.25
9/21/2021,10:50:00,0,7,41,0,0,0,60,0,0,41.59
9/21/2021,10:51:00,0,0,15,0,0,0,60,0,0,15
9/21/2021,10:52:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:53:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:54:00,0,0,0,0,0,0,60,0,0,0
9/21/2021,10:55:00,0,109,69,0,0,0,59,1,0,129
9/21/2021,10:56:00,0,88,34,0,0,0,28,32,0,94.34
9/21/2021,10:57:00,0,121,31,0,0,0,41,19,0,124.91
9/21/2021,10:58:00,0,44,64,0,0,0,60,0,0,77.67
9/21/2021,10:59:00,0,15,0,0,0,0,56,4,0,15
9/21/2021,11:00:00,0,0,0,0,0,0,49,11,0,0
9/21/2021,11:01:00,0,0,0,0,0,0,53,7,0,0
9/21/2021,11:02:00,125,342,347,4,0,0,51,9,0,502.99
9/21/2021,11:03:00,113,1141,1201,3,0,0,58,2,0,1660.44
9/21/2021,11:04:00,99,805,1158,2,0,0,53,7,0,1413.79
9/21/2021,11:05:00,72,742,1306,2,0,0,51,9,0,1503.79
9/21/2021,11:06:00,29,678,968,2,0,0,56,4,0,1182.18
9/21/2021,11:07:00,1160,1252,1601,9,0,0,60,0,0,2340.15
9/21/2021,11:08:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:09:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:10:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:11:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:12:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:13:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:14:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:15:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:16:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:17:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:18:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:19:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:20:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:21:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:22:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:23:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:24:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:25:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:26:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:27:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:28:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:29:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:30:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:31:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:32:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:33:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:34:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:35:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:36:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:37:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:38:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:39:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:40:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:41:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:42:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:43:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:44:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:45:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:46:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:47:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:48:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:49:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:50:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:51:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:52:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:53:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:54:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:55:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:56:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:57:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:58:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,11:59:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,12:00:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,12:01:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,12:02:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,12:03:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,12:04:00,0,0,0,0,0,60,0,0,0,0
9/21/2021,12:05:00,0,0,0,0,0,60,0,0,0,0
